name,cuisine,website,price,category,address,lat,lon
Le Servan,Modern French / French-Asian fusion,https://leservan.fr,$$$,Restaurant,"32 Rue Saint-Maur, 75011 Paris",48.86101559999999,2.3814506
Septime,Contemporary French,https://www.septime-charonne.fr,$$$$,Restaurant,"80 Rue de Charonne, 75011 Paris",48.85357740000001,2.380852
Yam’Tcha,French / Asian fusion,https://www.yamtcha.com,$$$,Restaurant,"121 Rue Saint-Honoré, 75001 Paris",48.8614427,2.3417022
Le Grand Restaurant – Jean-François Piège,French fine dining,https://www.legrandrestaurant.com,$$$$,Restaurant,"7 Rue d’Aguesseau, 75008 Paris",48.87014449999999,2.3191607
L’As du Fallafel,Israeli / Jewish,,$$,Street Food,"34 Rue des Rosiers, 75004 Paris",48.8574025,2.3592069
Pizza Julia,Italian / Pizza,,$,Restaurant,"43 Rue de Charenton, 75012 Paris",48.8518305,2.3720244
Mian Fan Dumpling Factory Paris 2,Chinese / Asian,,$,Restaurant,"9 Rue Saint-Augustin, 75002 Paris",48.8687364,2.337345
Angelina Paris,French / Pastry / Tea room,https://www.angelina-paris.fr,$$,Bakery,"226 Rue de Rivoli, 75001 Paris",48.86509,2.3284557
Au P’tit Grec,Sandwiches / French street food,,$,Street Food,"68-70 Rue des Écoles, 75005 Paris",48.8501846,2.3433515
Le Taillevent,French fine dining,https://www.taillevent.com,$$$$,Restaurant,"15 Rue Lamennais, 75008 Paris",48.8741266,2.3024802
Frenchie,Modern French,https://www.frenchie-restaurant.com,$$$,Restaurant,"5-6 Rue du Nil, 75002 Paris",48.8677208,2.3479717
L’Ambroisie,Classic French,https://www.restaurant-ambroisie.fr,$$$$,Restaurant,"9 Place des Vosges, 75004 Paris",48.8553584,2.3642182
Le Chateaubriand,Modern French,https://lechateaubriand.net,$$$,Restaurant,"129 Avenue Parmentier, 75011 Paris",48.8693263,2.3712603
Clamato,Seafood / Contemporary,https://www.clamato-charonne.fr,$$$,Restaurant,"80 Rue de Charonne, 75011 Paris",48.85357740000001,2.380852
Bistrot Paul Bert,Traditional French,,$$,Restaurant,"18 Rue Paul Bert, 75011 Paris",48.8522217,2.3849707
Café de Flore,French Café,https://cafedeflore.fr,$$,Cafe,"172 Boulevard Saint-Germain, 75006 Paris",48.8541588,2.3326046
Les Deux Magots,French Café / Brasserie,https://www.lesdeuxmagots.fr,$$,Cafe,"6 Place Saint-Germain-des-Prés, 75006 Paris",48.854085,2.3330013
Le Procope,Historic French brasserie,https://www.procope.com,$$,Restaurant,"13 Rue de l’Ancienne Comédie, 75006 Paris",48.8530639,2.3388234
Le Cinq,French fine dining,https://www.fourseasons.com/paris/dining/restaurants/le_cinq,$$$$,Restaurant,"31 Avenue George V, 75008 Paris",48.8688365,2.3008263
